label,text,title
family-conflict,"Hello, I have a cousin in my family who has been making me feel belittled, insecure, and frustrated during her stay here in the city. I know she comes from a place of love, but she has always been short-fused and highly temperamental if something doesn't work out the way she planned it. I have tried my best to coordinate plans with her, but she always ends up frustrated about the lack of communication I seem to have on my part and then makes condescending comments about my character that include: inconsiderate, negative, oblivious, and self consumed.  I have tried to talk to her openly about this, but it always comes back as an attack on my character and I have never heard these comments from anyone else before. I have been thinking a lot about her comments and whether I truly am an inconsiderate person who is not thoughtful, spatially aware of surroundings/people, or positive, but in the end, I am feeling awfully hurt about how this has affected our relationship.  What can I do?","What do I do about a cousin who makes me feel belittled, insecure and frustrated?"
relationships,"Cheating is something unacceptable for me but because we have two daughters I decided not to break up the family.However, now I am struggling to forget and forgive what happened. I feel like I cannot trust him. Without trust, I cannot stay in this relationship. On the other hand, I do not want my children to get hurt. I'm not sure how to move forward?",About a year ago I found out my husband had cheated on me
relationships,"My boyfriend is in Ireland for 11 days, and I am an emotional wreck.",How can I not miss my boyfriend while he's in Ireland?
relationships,My boyfriend called me a particular profanity and I broke up with him. This is the third time he's called me this and I'm just completely done with giving him chances. He knows how much it bothers me. I just want to know if I'm over reacting.,Am I overreacting by breaking up with my boyfriend because he called me a particular profanity?
relationships,,Is being mean and fighting with my boyfriend normal after an abortion?
relationships,"My fiancé and I have been together for 3 years and our relationship has always been good. The only issue we had was that he felt like he wasn't getting enough sexual attention from me.  I recently found out he cheated on me with another women. He says he wants his family back but I'm confused on what to do. Is it possible for us to get past the cheating, or should I just move on?",Is it possible for a couple to overcome cheating if it only happened once?
relationships,"My fiancé and I come from a strong Christian background but both went off the ""straight and narrow"" once before. He is having a hard time accepting my past, especially that I'm not a virgin. He has a hard time in general accepting himself and others.  His insecurities are hurting our relationship. How can I help him let go of my past and decide to live in the present?",How can I help my fiancé accept and let go of my past?
relationships,"I'm always listening to my husband, but it feels like he never listens to me.  How do I get my husband to listen to me instead of me listening to him all the time?",How do I get my husband to listen to me?
relationships,"My fiancé and I have been together for 3 years and our relationship has always been good. The only issue we had was that he felt like he wasn't getting enough sexual attention from me.  I recently found out he cheated on me with another women. He says he wants his family back but I'm confused on what to do. Is it possible for us to get past the cheating, or should I just move on?",Is it possible for a couple to overcome cheating if it only happened once?
relationships,We're in an eight year relationship. My boyfriend drinks a lot. He experienced childhood trauma. I don't know how to deal with violent outbursts.,How do I deal with my alcoholic boyfriend with a dark past?
relationships,I am in my 30s with 2 kids and no job and I'm behind on the bills. I've been trying everything with no results. I feel like everyone else puts their needs in front on mine. I give intil it hurts and I'm afraid that I'm going to fail my babies  I've been struggling for 5 yrs in a relationship with no communication and no alone time. How can I get some support?,I feel stuck in life. What can I do?
relationships,"I've always thought that there wasn't much good out there for me. Now that things are actually going well, it kind of scares me. I spent most of my life feeling unwanted and figured I would be alone. I recently met a great woman who seems to really like me, and I don't know how to process this. It's bothering both of us.",How do I handle being wanted in a relationship when I'm used to feeling unwanted?
relationships,"I'm always listening to my husband, but it feels like he never listens to me.  How do I get my husband to listen to me instead of me listening to him all the time?",How do I get my husband to listen to me?
relationships,"I've been suppressing it for quite some time, but there are days when I can't make eye contact with her. I think she knows, and we both admitted there was some type of vibe, but the overall discussion was vague. I think she could possibly be dating someone that works with us. It's driving me crazy. As an act of expression, I have purchased a gift for her that's personalized. I haven't given it to her yet.",I'm attracted to my boss
relationships,"My boyfriend and I have been dating for almost 2 years. I've been really sad lately and for the past few months I've realized I'm just way too dependent on him. It makes me really upset to be so dependent on someone else, but I can't help it. I don't even know who I am without him.
 How can I be less dependent on my him?",How can I be less dependent on my boyfriend?
relationships,"I've known him for about six years. We've dated off and on. I hadn't seen him in close to three years but recently started seeing him again. I really want this to last this time. I stayed the night. Do I text, call, or make contact first, the same day of the morning I left his house?","Do I text, call, or make contact first, the same day of the morning I left his house?"
relationships,"My spouse decided he no longer wanted me six years ago. Things have deteriorated so badly that we have separated but still live in the same house. He says he despises the sight of me, wants to be with other women, and divorce. What I don't understand is that he says constantly that I have no feelings for him and gets absurdly jealous if I speak to another male. Why does he constantly do these behaviors? I might add he has been diagnosed with borderline personality disorder and as a narcissist.","Why does my spouse tell me he doesn't want me, but also gets jealous of me?"
relationships,"Every time my partner gets angry for anything, she takes it out on me. Nothing I do is right, and once she's mad, she calls me all kinds of names and is verbally abusive. She says it isn’t abuse, it’s just angry verbal bashing, and that it’s different. It gets worse each time. The names are very vulgar now.",How do I get my partner to stop verbally abusing me?
relationships,"I've always thought that there wasn't much good out there for me. Now that things are actually going well, it kind of scares me. I spent most of my life feeling unwanted and figured I would be alone. I recently met a great woman who seems to really like me, and I don't know how to process this. It's bothering both of us.",How do I handle being wanted in a relationship when I'm used to feeling unwanted?
relationships,"She's busy because her mom makes her clean all the time and go out places with her family. We don't talk much because of it. Also, we have little fights. We want to work it out but we don't know how.",How do I make my relationship with my girlfriend better?
relationships,"My fiancé and I recently had an argument over finances. He gives me the money each month to pay his automobile insurance. He no longer has one of the vehicles on the policy. He realized he was still paying for the coverage and asked why I was allowing him to continue to do that since I was physically paying it for him. My response was that he was giving me the money, and I just made the payment. I didn't think of the coverages. He was angry about it. I still can't figure out that anger.",Why is my fiancé angry at me about his automobile insurance?
relationships,"I found the guy I’m dating on dating websites. He was telling women that they were beautiful. He said it wasn’t him and that the phone was hacked. It has since happened two other times. He says he loves me and I’m the only girl he wants to be with, but I feel he is not telling me the truth.",What should I do after finding my boyfriend flirting on dating websites?
relationships,"I was the one who ended it, and I'm so glad I did. It was the best decision I made in my life. But how do I stop the nightmares and flashbacks? It is creating a wall in my current relationship.",I have nightmares and flashbacks about a past relationship
relationships,My boyfriend and I have been arguing every night about the same thing. He also tells me that if I go visit my mother out of state he will be gone when I get back. He and my mother do not get along. What should I do?,I feel like my relationship is falling apart
relationships,"My boyfriend of eight years and father of our two children is a truck driver. He is never home and only contributes to our family financially. There is no other support given. He comes home when able, sleeps, gives money, and leaves again. I can't get him to do anything with me or the kids. He just sleeps and works.",How do I deal with a man who only contributes financially?
relationships,"Ever since I was little, I loved the idea of loving someone and spending my whole life with them. I treated everyone nice. For girls I liked, I would spend every second with them. It always ends the same way: “I like you as a friend,” or “I love your attention but not you.”",How can I make girls love me and not just the attention I give them?
relationships,"I am so terrified of having sex anymore because I have been told over and over that sex is dangerous even though me and my partner used both forms of protection. My partner is not happy about this and simply wants more sex, and honestly, I want to give that to her.",How can I get over my fear of accidental pregnancy to have sex again?
relationships,"We had great chemistry, but then he became distant. I had the feeling that I can't be without him. As soon as I felt the difference, I was scared to lose him. I started freaking out if he did not answer, thinking that something bad happened.",How do I know if I am obsessed or in love with someone?
relationships,,What can I do when my boyfriend says he's not ready for marriage?
relationships,"I believe my partner has a masturbation and porn problem. He masturbates daily, even when I am lying in bed sleeping beside him. We have sex once a week. He is rough and worries about his needs. He never touches me, and treats me like a porn star, wanting to finish on my face or chest.",How do I deal with a lack of intimacy and partner's addiction to solo sex and porn?
relationships,"I've been with a man for four years. For the last year, he has said he is done, but he still talks, texts, visits, and has not moved on with anyone else. His words do not match his actions. I love this man, but it's hurting so much.",My ex-boyfriend say we're finished but still acts like we aren't
relationships,"I’m a man, and I’m soon to be married. I have been messing around with other men on the side. It started as a once in a while thing, but it’s been happening a lot. I don't know what to do.","I'm soon to be married, and I've been messing around with others"
relationships,,Is being mean and fighting with my boyfriend normal after an abortion?
relationships,"I stress over everything. If I don't have enough ""quality time"" with my boyfriend, I start to feel resentment towards him. He has three children, and they are great kids, but I find we don't have much time together. I break down easily and find myself depressed.",Do I have anxiety?
relationships,"Both of my parents committed suicide together, and I was the one who found them. I suffer from overwhelming depression, which is having an extreme effect on me and my husband’s sex lives. He does not understand at all and is always making me feel so uncomfortable about sex.",My husband makes me uncomfortable about sex
relationships,"I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman.",Why do I feel like I always need to be in a relationship?
counseling-fundamentals,I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,Is it normal to go into therapy feeling nervous?
counseling-fundamentals,How does a person start the counseling process?,How does someone approach a counselor?
counseling-fundamentals,How does a counselor decide when to end counseling sessions or to terminate working with a client?,How does counseling end?
counseling-fundamentals,,How does a counselor diagnose someone with a disorder?
relationships,"I’m in love with my friend who is also a girl. I fell in love with her in a few months. That was my first love. We used to talk for the whole day and night over the phone and on Facebook. I thought she had the same feelings for me, but I was wrong. I always wanted to touch her warmly and stay with her all my life. But all my dreams get broken apart after she got into a relationship with a guy. I’ve tried to be in relationship with guys, but I can’t be in love with them.",Am I a lesbian because I love a girl?
relationships,"I need answers to my anger, possessiveness, and urges.
I am angry all the time. I push people away so much that I actually blow up on people now because they ask me how my day is or was. I have a possessiveness to someone who is not even mine. I have these urges to hurt someone really bad. I want to see them beg for me to stop hurting. I want to hear their agonizing pained-filled voices. What is wrong with me?","i need answers to my angry, possessiveness, and urges"
relationships,"My boyfriend of five years told me he cheated on me during our relationship after we broke up. We've since gotten back together and are trying to make it work. I don't know how to trust him now, but I really want to make it work, and it seems like he does too. But my trust issues are getting in the way and causing problems.",How do you get over someone cheating on you when you are trying to make it work?
relationships,"I have been dating my boyfriend for a month, and we want a baby. We don't work or drive, and we haven't talked to our parents. What should we do?","I'm a teenager, and I want to have a baby with my boyfriend"
relationships,"I got involved with my best friend who is married but has been very unhappy for the last five years. We both fell in love and have been together for eight months. He left the house and filed for divorce. He decided to tell her about our relationship, and she is willing to forgive and work on things. This shook him. They have two kids together. He decided to put the divorce on hold. He left town for a month to get clarity on the situation and see a therapist.",How do I better handle my breakup?
relationships,"He owns his own business. Sometimes, he stays out all night but doesn't tell me. We have a son together, and I get to stay home with him. He says I complain too much about what he's doing. We've been together a year and a half. I got pregnant after being together for a month. We moved in together when I had my son in July. Everything was great, and then he started the staying out. He then started not spending time with either of us. I just don't know if I'm doing something wrong. We've talked and he says this is just how he is, but he wasn't like this before.",My boyfriend says he doesn't like to do things with me because we fight too much
relationships,"My fiancé and I have almost the best relationship every girl wants, but lately it's changed. I get less attention and little to no intercourse. He works a lot and goes to the gym a lot (he's a football player for an indoor league), but he has no time for me. We live two hours from family, and when I leave home to see family, he'll text me saying ""whatever"" and ""leave me alone."" But when we're together, everything is okay. No fighting or anything. I love this man, but I just don't know what to do anymore.",How can I get my fiancé to notice me again?
relationships,"I love him so much, and I don't know what to do.",My boyfriend is always accusing me of not loving him
counseling-fundamentals,"I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?",Is it normal to cry during therapy?
counseling-fundamentals,"How do therapists classify the type of personality their clients have? What characteristics do they look at to decide what type of personality the client has? I've read about this online, but I'd like to understand this from a therapist's point of view.",How do therapists characterize personality types?
counseling-fundamentals,"After first meeting the client, what is the process that a counselor facilitates?",What happens in a counseling session?
counseling-fundamentals,Does counseling really do anything that can help people?,How does counseling help people?
relationships,"I'm scared that I am with this man so I won't be alone. He should be with somebody who deserves him if this is the case, and I don’t want to hurt him.",How can I be sure that I'm not choosing my relationship out of fear of being alone?
relationships,"My boyfriend has a child he gets every other weekend. He goes to see her twice a week or more. Every time she leaves, he gets into these funks like when his mom died. When she’s here, she’s disrespectful, and his answer is “Well, I don’t know what to tell you.” She swears and talks back, and he laughs. He and her mom have been apart for three years, and he blames her behavior on that and her being so young. We never have adult time when she’s not here. She’s the ""golden child,"" and he won’t listen to anyone.",Should I leave my boyfriend?
relationships,My partner seems to always get depressed over the fact that his kids have to see and go through the divorce process. It’s especially when the mother of his kids keeps making him feel bad and using the kids as an excuse to get back at him. I feel like just telling him to go back with his family and forget about me.,How do I help my partner overcome depression over not having his kids by his side all the time?
relationships,,How do I not get depressed if my boyfriend doesn't want me anymore?
relationships,"My boyfriend of five months expresses how much he cares for me and loves me, and I believe it. It has been one of the best relationships I have been in for a short period of time, but he has lied to me so much. He’ll tell me that he'll stop lying, and while he’s saying that, he's hiding something or lying about something. First, it was about a girl. He hid text messages and claimed she was a friend and it was a friendly conversation when it was a girl he once found interest in. Next was his ex-girlfriend. He put a fake contact name, and it was just friendly, but he lied to my face. All the time, he claims he never cheated and still expresses his love the same way and that he wants to change and do better.",How can I get over the past in my relationship?
relationships,"We got into arguments, and we would break if off but start it back up again. We clicked, or so I thought. We are both married with problems in our marriage. We never have sex; we just send a lot of pictures back and forth and talk about doing things together. His wife found out, and he lied to her and didn't even refer to it as an affair. I can't stop thinking about him. We just click. I've been married for 16 years, and I've never liked anyone other than my husband. Now I like him, and we’ll never be together.",How do I get over the man I had an affair with?
relationships,"I'm a young adult woman, and I have trouble finding my true identity being at home. This all started when I had a boyfriend about 10 months ago. My boyfriend and I were dating for a couple months and decided to get in to sexual acts. At the time, I was pretty religious, but I let this happen. I don't know why. I felt kind of guilty but mostly because I know my parents wouldn't like it. My parents are very religious—they're Christians. We did things every time he'd come over to my house. We didn't have anything to do at our house, so we would get tempted to do things when we'd watch movies by ourselves.
 One day, my parents found out I did this stuff with him because my dad read my messages. As soon as my dad found this out, he told my mom. They were both aggravated. They told me he was just a boy that wanted to get inside my pants. They said he wanted me for sex and he's not a Christian. I took their advice and broke up with him. Once we broke up for about a month, I decided to get back together with him a little after school started. My parents found out eventually, and I decided to not listen this time. I would constantly talk to my boyfriend about what they say about him: how's he's not the right one for me, and God totally forbids him. I would kind of try to break up with him, and then eventually I would just never listen to my parents. They're always yelling at me about how I shouldn't date this boy. I felt too old to listen to them. Now I'm kind of just stuck. Is the real me religious? Have I been brainwashed by him? I don't talk to my parents anymore about him, and my parents think I'm deceiving because of it. They threatened me that if I'm still with him, I can't do track and they won't support me. They've also called me slut, and now they called me basically a devil worshipper. They say my boyfriend is taking me away from my parents. I'm actually very happy with him. They also say I'm living a separate life at home than I am at school. They say they want what's best for me and love me because they adopted me.","I'm dating a boy that my religious parents don't like, and I'm having trouble finding my identity"
relationships,"My partner and I have had an amazing relationship and connection for over two years. We're very committed to each other and are planning a very long life together. However, he recently was very open and honest that he isn't interested in having sex with me anymore. He says this has happened in every past relationships and has ended it as a result. He knows it's because it's the ""same person"" feeling, but how can he get over this?",My partner is bored of being intimate with me
relationships,How can I know if I'm just being paranoid?,What should I do if I think my partner is cheating?
relationships,"I've got so much anger. I don't know how to control myself. My girlfriend screams at me all the time, and sometime I don't know how to deal with life. I'm very depressed and angry. I feel lost.",I get so angry that I want to explode
relationships,I've been getting told lately by my partner that it’s embarrassing that I'm so antisocial around his family and friends. I believe it's because I'm not as social as him.,Is it wrong to be antisocial around people?
relationships,"I met a guy a while ago, and I can't stop thinking about him. I feel like I love him, but I don't think I know him. What if he is not who I think he is? I cry sometimes thinking someone is going to be with him or that he has a girlfriend. I don't know, am I too obsessive? Every time we talk though, it's like magic. He makes me feel amazing, but what if I'm mistaken?",I'm worried that there's something wrong with the guy I love
relationships,"My fiancé and I have almost the best relationship every girl wants, but lately it's changed. I get less attention and little to no intercourse. He works a lot and goes to the gym a lot (he's a football player for an indoor league), but he has no time for me. We live two hours from family, and when I leave home to see family, he'll text me saying ""whatever"" and ""leave me alone."" But when we're together, everything is okay. No fighting or anything. I love this man, but I just don't know what to do anymore.",How can I get my fiancé to notice me again?
relationships,"My boyfriend recently got a kitty. I hate cats in general, and he knows it. It grosses me out and makes me very upset when he pets his cat. I want to throw out the cat. I feel very jealous.",How can I like pets?
relationships,"Whenever I run into a situation that makes me upset or angry, I tend to start cursing and badly offending the person I am confronting. I say mean things to let my anger out. Whenever people tell me stuff about my relationship (like starting rumors or saying negative things about me or my relationship) I lash out not just them but at my boyfriend. I feel like I keep causing drama due to my personality. I want to be a better person and learn to let things not get to me and be happy and graceful. I hurt the ones I love with my words. I want to be better for myself and them.",How can I control myself and learn to let things go or communicate?
relationships,"I was hanging out with my close guy friend. We started kissing, but afterwards, he said that we should just stay friends because he doesn't want to ruin anything. We both just got out of relationships. His was very sexual. I'm not a sexual person, and he knows that. I want to be with him, but I'm not ready for another relationship, and I don't know if he ever will want to be more than friends.",I have feelings for one of my best friends
