,labels,content
11,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",Can i learn to be happy alone? + I'm dealing with an illness that will never go away and I feel like my life will never change for the better. I feel alone and that i have no one.  How can I overcome this pain and learn to be happy alone?
12,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","My husband treats me terribly + My husband and I have been together for seven years now. I will be honest: I have a problem lying to him about stupid stuff. I recently stupidly lied to my husband about an accident because I was afraid to tell him what happened. Ever since then, he gives me the cold shoulder. He gets so mad and ignores me for days. He's really verbally and emotionally abusive. He tells me all the bad things about me and calls me awful names. Should we call it quits? I'm tired of crying, but we have a toddler together."
13,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","How do I stop obsessively checking if my boyfriend is cheating? + My dad cheated on my mom for 13 years. I cannot stop obsessing over the fact that my boyfriend might be cheating on me even when I know he isn't. I have full access to his phone, social media, and e-mails. I never find anything, but I'm obsessed with constantly checking just in case. How do I stop this? It's driving a wedge between us."
14,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",I just found out my boyfriend has been cheating on me + He is in his late thirties and I am in my mid twenties. We have been together for about 5 months. I really like him. He says he cares about me and is willing to fight to make things right. He has been very apologetic and expressed he did it out of fear. I don't know if it's worth giving him a second chance.
15,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","I feel completely alone in my marriage + I have been married for 11 years. Within the past 2 years we have drifted far apart. We coexist together but there is very little personal interest in each other. I often feel that my husband has ""friends"" at work that he is more emotional invested in than me. I feel very alone and just uncared for. Is there anything I can do to feel reconnected?"
16,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","How can I be happy again? + At school, it feels like I've lost all my friends, and I've been really weird with my sleeping patterns. I used to cut myself, and I really want to again, but I change in the locker rooms because I don’t want anybody to see. I get ticked off easy and overreact. At night, I’m very depressed and listen to sad music and all that sort of stuff. Please help me. I just want to be happy again, and I feel like I’m starting to fake a smile at school."
17,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",I feel like I could never be with anyone because no one would want me + What do I do if I have been feeling like I could never be with anyone because no one would want me. Or I couldn't have many friends because of who I am. It's strange I want to be loved but I'd hate to be because I always lose.
18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","How do I make myself happy without someone who made me happy? + How do I make myself happy without the people who made me happy? Now that they’re gone, I feel sad. It’s been two months now but I seem to be unable to stay okay and independent."
19,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","How do I cope with bad thoughts? + People have been calling me names, and I have had enough of it. I cannot stand it anymore I'm done. I have told someone this, and that is why I am writing this. The thoughts are awful."
20,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","How do I get back on my feet while going through a bad divorce? + I am going through a divorce. He is extremely angry. He refuses to physically assist me with our teenager daughter. I have no extended family support. Often times, I feel overwhelmed, tired, and joyless. I feel out of control, sad and depressed on a daily basis. I am just going through the motions of life every day. I am in my mid-50s. I have almost 29 years on my job. How can I handle this?"
21,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",I feel really down all the time + I always feel like I'm not good enough and it literally is so hard living. I don't know how to talk to my parents about it.
22,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",What should I do about not being sexually attracted to my girlfriend of five years? + Nothing we've tried has worked so far.
23,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","How do depression and PMS symptoms contribute to one another and what can I do about it? + I struggle with depression as well as pretty intense mood swings throughout the month. I experience highs where I feel amazing and energetic and then lows where I lack focus, energy, and generally have a more dark outlook on my life. How can I live a more balanced life?"
24,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","How do I kick my stepdaughter out of our house because she isn't honoring boundaries set for her? + She's in her early 20s, and she has a toddler."
25,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","Why do I get aroused when women call me ""gay""? + Is it a type of fetish, or is it normal?"
26,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","How can I be sure that I'm not choosing my relationship out of fear of being alone? + I'm scared that I am with this man so I won't be alone. He should be with somebody who deserves him if this is the case, and I don’t want to hurt him."
27,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","How do I handle my extreme paranoia? + I'm just an extremely paranoid person. I constantly feel as though I am in some sort of danger, like as though I live in a horror movie with no resolution. It worsens at night. It gets to the point I'm scared in my own home more so than anything. I have no access to the help I need so I'm desperate."
28,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]","I'm not sure if I want to trust my husband again + My husband used a lot of negative words to hurt me, and I moved out. He is seeing a counselor and wants another chance to make things right. I'm not sure if I trust that he will not go back to his old ways."
29,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","I have nightmares and flashbacks about a past relationship + I was the one who ended it, and I'm so glad I did. It was the best decision I made in my life. But how do I stop the nightmares and flashbacks? It is creating a wall in my current relationship."
30,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","My son and family has different views about religion. How do I resolve these differences? + In particular during family gatherings (such as funerals), where there are different customs."
31,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Do I have an anger problem? + When I get frustrated or upset, it becomes extremely difficult to keep my voice down. I also instantly cry and tend to have anxiety attacks. What can I do to try and control it?"
32,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Why do my parents always favor my sibling while acting like they do so much for me? + My parents hate me.
33,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","I found my boyfriend talking to his ex-girlfriend + About a month ago, I went through my boyfriend’s phone and found him messaging his ex-girlfriend that he was dating before me. He gave her a promise ring when they were together, and he still had it hiding in his memory box in our son’s room. I found many things on his phone, but that broke my heart the most. He deleted all the messages but two. I can't help thinking they were talking about the old times together or something like that. It really kills me, and I can't stop thinking about it."
34,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Am I unworthy of being in a meaningful relationship? + I'm in a relationship, but I feel like I'm always putting more into it and not getting reciprocated. My ex told me that I will never find anyone else, and that's lingering in the back of my mind."
35,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",What should I do if my boyfriend can't get over my past? + My boyfriend can't get over my promiscuous past. He says he loves me but says the thought of my past is disgusting and a sexual distraction. He says he should have had more sex with different people. I don't know how to handle this.
36,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]","Why does my spouse tell me he doesn't want me, but also gets jealous of me? + My spouse decided he no longer wanted me six years ago. Things have deteriorated so badly that we have separated but still live in the same house. He says he despises the sight of me, wants to be with other women, and divorce. What I don't understand is that he says constantly that I have no feelings for him and gets absurdly jealous if I speak to another male. Why does he constantly do these behaviors? I might add he has been diagnosed with borderline personality disorder and as a narcissist."
37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","Why do I think about how easy it would be to hurt cute animals? + Sometimes, when I look at my pet cat, I think about how innocent he is and how somebody could hurt or kill him. It makes me sad because I love him, but I always think about how helpless he is. There've even been split-seconds where I felt almost tempted to kick him, followed by shame and guilt."
38,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",My boyfriend wants to know every details of my sex life + We've been dating for two months now. I have a heavy past that gets him angry. Does he have a right to penalize me for things I did before I met him?
39,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","When I'm around children I get this intense feeling of paranoia and fear + I'm a male in my early 20s. Lately, my paranoia about being around kids is causing me too breathe heavy and sweat a lot. I then start to act weird because I'm trying to fight my paranoia. This leads to people starring at me because they don't know that I'm suffering from panic attacks and paranoia. They just notice me acting scared around kids and they think I'm a threat because of it.  I'm not a pervert or predator. I would never hurt a kid. I like kids and don't know why I'm so scared to be around them.  I don't understand why I feel like this. Am I a bad person? How do I make this stop?"
40,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","I'm worried that there's something wrong with the guy I love + I met a guy a while ago, and I can't stop thinking about him. I feel like I love him, but I don't think I know him. What if he is not who I think he is? I cry sometimes thinking someone is going to be with him or that he has a girlfriend. I don't know, am I too obsessive? Every time we talk though, it's like magic. He makes me feel amazing, but what if I'm mistaken?"
41,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","I fell in love with someone who bullies me + I have a friend who I became quite close to, close enough for us to insult each other lightly for humor. But eventually, that went too far. Recently, I've realized that it is causing me lots of stress and anxiety. I can't get away because I fell in love with them."
42,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","How can I resist the urge to cut? + When I'm sad and alone, I want to cut myself."
43,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","I get verbally abused everyday by my parents in front of my child and I cannot take it anymore + I'm being verbally abused on a daily basis by my parents in front of my child. I feel like I’m trapped and I have no escape. I feel like I have to listen to the horrible things they say and just take all of it.
 I need some way of learning how to cope with listening to it especially since I have nowhere else to go. I feel very emotionally drained How can I deal with this?"
44,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","How can I quit resenting my parents for the horrible life they provided for me? + I'm a teenager, and throughout my entire life, I've never really had good parents, or parents at all for that matter. I'm not exaggerating. I was living with my mom and grandparents until my father, in prison for most of my life, got out when I was in middle school. His mom, my grandma, only lived a mile down the road from my mom’s house, and I was so awe-stricken with my dad that I got to stay with him for a long time. Meanwhile, I did not realize that my mom was doing hardcore drugs. My mom went to prison for that and lost her café. We live in a very small town, so everyone knew about it, and I was bullied because of who my parents were. My dad ended up getting in with the wrong people and went back to prison.
 My mom and him had a mutual friend and often hung out at that person’s house. My parents did not get along at this point. We were driving him home one day from this house, and my mom stopped the car and kicked him out. He got out of the car, went to the driver’s side, and punched my mom in the face. I got out and told him not to hit my mom. At that point, I was really scared and mad that he did that, so I ran towards him to stop him. He literally picked me up and threw me on the back of a gravel road. I couldn't even walk. My mom tried to help me, but he started choking her. I hobbled over, and she barely got into the car, and we quickly drove away and called the police and ambulance. He was so badly strung out on drugs. He went to prison again and seems to be doing well. I met up with him once with my grandma, and we had coffee, but he's so hard to handle. I think a lot of it is that I can't bring myself to forgive him. My mom went back to prison again for drugs, and while she was in there, I moved in with my dad’s mom (the one who lived just down the road) because I trust her, her house is stable, and she's more nurturing, understanding, and loving then my other grandparents. I also stay at my boyfriend’s a lot. Now that my mom is out of prison, she's trying to control every aspect of my life. She’s trying to make me move back home out of Susan's house, and I don't want to. I don't like it there. They condone drug abuse and many other things, and I'm just not comfortable. She's even threatened to call the police and say I'm a runaway because she has custody of me. My boyfriend has always had this picture-perfect life, and his family are strict Christians. One time, his mom even went as far as to say that if he and I break up, if we were having sex, I would say that he raped me. I've got so many problems I don't even know what to do."
45,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Why do I feel worthless and tired? + I always feel like I'm doing something wrong. Everything I do is crappy. I want to cry all the time. I can't eat or sleep.
46,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","Why does my granddaughter instantly switch moods? + She was diagnosed a type one diabetic two years ago and had a very tough time dealing with it. She has an attachment issue also; her mother just moved to a much nicer home, and she gets angry and demands to go back to her prior home. We do not understand what is going on, and it is driving us crazy."
47,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","My boyfriend doesn't compromise with me + My boyfriend and I have been disagreeing on a lot lately. It's really coming down to the fact that we want opposite things sometimes. I do a lot for him: I take care and protect him, and in the end, he still doesn't trust me. We've both come to the conclusion that when I want something and he doesn't want it, he's not willing to find a happy medium whatsoever. It's just non-negotiable. I'm not sure what to do honestly. He doesn't trust me as much as I wish he did. Honestly, sometimes I feel like his enemy, and it kills me."
48,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Why is my fiancé angry at me about his automobile insurance? + My fiancé and I recently had an argument over finances. He gives me the money each month to pay his automobile insurance. He no longer has one of the vehicles on the policy. He realized he was still paying for the coverage and asked why I was allowing him to continue to do that since I was physically paying it for him. My response was that he was giving me the money, and I just made the payment. I didn't think of the coverages. He was angry about it. I still can't figure out that anger."
49,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","How do I help my 5 year old from horrible tantrums caused by a bully at school? + We have tried gentle talking, counting to calm her and talking about it, sending her to her room and then trying to talk when she’s calmer, and now calisthenics. However, nothing is working."
50,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","How can I avoid having past traumatic experiences affect my present and future? + I have family issues, and my dad was both violent and a cheater."
51,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]","My mentally-ill mother-in-law wants to babysit + My mother-in-law is mentally ill. She has been for most of her life. She cuts herself. She has been in and out of psychiatric hospitals for about 40 years. She has voices in her head that tell her to cut herself. She has had multiple shock therapy treatments, and she’s on enough medication to take down an elephant. Her parental rights for her two children were taken away from her when my husband was a boy—he is now in his late 30s. She doesn’t even have custody of herself. She hasn’t asked yet, but she has been insinuating that she wants to babysit my child. How do I go about saying no without creating an issue?"
52,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","How do I know if I have social anxiety? + I'm a teenager, and I struggle with going out and talking to people. I feel awful about leaving home. I know I can't afford a therapist so I don't know what my problem is, but I think I might have social anxiety."
53,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","How can I help my boyfriend's anger issues? + I have an emotionally abusive relationship. We have been together for a year and a half. He got out of prison exactly a year ago and a half ago, and we have a infant. I love my boyfriend, and I don't want to leave without fighting for this first. He's an emotionally disconnected person. We never say “I love you” to each other. Every fight is worse than the last one, and I don't know what to do. He doesn't let me speak because he's louder than me, and that makes me feel frustrated. I have another problem: English is my second language. I pay half of the bills, and every time I want to speak to him, he kicks me out of the house. He apologizes sometimes. I feel like I'm the only one fighting for this. He agreed to have counseling."
54,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Is it okay to date my ex-boyfriend’s cousin? + I have been dating my ex-boyfriend’s cousin for a few years. We have gotten pretty serious. He wants to cut it off because people are giving him a hard time that our kids will be related to my ex.
55,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",Does my friend have depression? + I am really worried about one of my friends because I think he has major depression. He disagrees with me on that. He is shut off when it comes to talking to people and telling them how he really feels. He told me he feels empty inside and the only emotions he feels are anger and sadness. I suggested to him to get help and talk to his mom about it but he refuses.
56,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","How can I tell my dad I'm a female-to-male transgender and I want to start binding? + I have known I was always different. This year, in December, I found out that I never felt female. I did research and have identified myself as male but don't know how to tell my dad."
57,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",My parents are getting a divorce and I feel depressed + I am going through a very hard time and I'm so depressed. My parents are getting a divorce and a lot of bad things are happening. I want to lull myself.
58,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","Should I stay with my manipulative husband? + Every day for five years, my husband mentally abused me and said he will change. I have a child with him. I try so hard to stay strong for her, but at this point, I am completely broken. I am holding on to nothing but hope and have been for years. Is there any hope or am I wasting my time?"
59,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",Does my daughter have a mental disability? + My daughter is in later elementary school. She can't color in the lines. Her words jumble together when she writes unless there are big spaces or she skips lines.
60,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","Should I tell my kids that Santa is real after their dad told them he is not? + My ex-husband told my two adolescents that Santa doesn't exist on the day before Christmas. They are desperate to hold on to the magic of Christmas, but I don't know if it's right for me to lie to them and tell them that Santa is real. I don't want to let them down and make them lose out on those memories, but I also don't want to lose their trust."
61,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","How can I deal with gender dysphoria in a positive way? + I'm transgender, I know I am, but I've only told a few friends. I know I can't tell my family because of previous conversations we've had. They just wouldn't accept it.
My gender dysphoria is getting really difficult to deal with on my own. I need some strategies for dealing with it. What should I do?"
62,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","Should I take my daughter to therapy? + My daughter didn't see her biological father for the last three years. She doesn’t want to see him because she remember really bad things from him such as domestic violence and child abuse. The visitation is with supervision, but she refuses to see him. Is it better to take my daughter to the therapist and try to see him after the therapy?"
63,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Is it time to end my relationship with my boyfriend for good? + He isn't violent, but he has anger issues and deep insecurities. He's working on them and has improved. We started counseling, and he participated in one or two individual sessions, but we broke up again shortly thereafter. Now his constant questions and accusations are getting really draining."
64,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","Should I message my crush? + I have had a crush on this guy for years. I last talked to him a few years ago when we graduated from high school. We left off on a good note. Should I message him and see how he is doing, or is it too late?"
65,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","I started dating someone and found out they lied about some things—what should I do? + He's lied about his past/present situations. Since time has passed, he has changed, but I still have my doubts. I have no idea if I should stay or go, but I hate this feeling. I don't trust him all too much, but yet he hasn't done anything for me not to trust him recently."
66,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","My boyfriend's family expects him to take them on dates, and he doesn't think anything's wrong + I have been dating my boyfriend for eight years. We met in college off away from home and things went from good to bad when I met his family who treats him like he is their man. They expect him to take them on dates like to the movies and out to eat when they come around, and he thinks it's okay."
67,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","How can I learn to not shut down and say what's wrong with me? + When I get talked to by my dad or stepmom, or if I'm in trouble, I will begin to cry and not say what's wrong with me. When my dad or stepmom ask what is wrong, I never know the answers or the words to put together what is actually wrong with me."
68,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","Should I get a divorce? + I have cheated on my husband of five years roughly ten times. I pretend we aren't married at my work. Recently, he has caught on, but I lie to cover it. He use to talk to girls online, but I have caught myself constantly having a affair."
69,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","I cheated on my partner, and I don't know how to feel + I am married, but I had sex with my friend. I feel guilty, but I feel not guilty too. Do I need to feel guilty? It's my body, and I have full rights to do what I like."
70,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","What can I do about my fiancé putting his family first before our family? + My fiancé of 15 years is always helping out his family, and I feel like his family takes advantage of his kindness. We're about to get married this Saturday, but I feel like he is always gonna put them first instead of myself and our three kids. I am not enjoying our engagement at all."
71,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",I want to become a better man + I'm having relationship problems and I want to fix them to make things right before I lose her. How can I learn how to listen and get myself together?
72,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","Do feelings of depersonalization go away? + I've felt this way for two years. I feel so much better now then I did when it started, but it is still there in the back of my mind at all times."
73,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","What makes my husband so selfish when it comes to my feelings? + If I tell him I don't like certain things, he does when it pertains to me. He tells me it's not like that. He never has anything to say about me until I tell him something about himself."
74,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","i need answers to my angry, possessiveness, and urges + I need answers to my anger, possessiveness, and urges.
I am angry all the time. I push people away so much that I actually blow up on people now because they ask me how my day is or was. I have a possessiveness to someone who is not even mine. I have these urges to hurt someone really bad. I want to see them beg for me to stop hurting. I want to hear their agonizing pained-filled voices. What is wrong with me?"
75,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]","I think I have anxiety and depression. It has manifested an extreme distrust for others + My husband and I are in a terrible place. Part of me wants to fix it, but then I'm caught up with not knowing how and not being able to communicate my feelings to him because he always feels I'm blaming him. Sometimes I am because the feelings of distrust are so strong. I feel they must be coming from something he's doing, but sometimes I know I'm being irrational. Still, that doesn't stop the anxiety. The other half of the time, I just want to walk away, but I feel like that will only be a temporary fix."
76,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","How can I get over my depression and grief? + My dad passed away when I was a teenager. I never got any help, and five years later, I feel like I can't handle it anymore."
77,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Is it normal to cry during therapy? + I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?"
78,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",How do balance attention between my girlfriend and my dogs? + I have dog obsession disorder and I am having problems with my girlfriend because I am placing more importance to my two dogs over her. How do I get over this problem and prioritize my girlfriend over my two dogs?
79,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","How do I get out of an abusive relationship? + I've been with my boyfriend over 3 years. He cheated on me and the woman is now pregnant. He is physically and mentally abusive towards me. I have attempted to talk with him in order to resolve our issues; however, he never wants to talk and often blames me for everything.I’m always there when he needs my help. He tells me although I help him doesn’t mean that I am a good person. He always discredits me as a woman and it’s hurtful. I spend most day crying and feeling lonely. I am unhappy and unsure of what I need to do."
80,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",I always fear that people are judging me + I know this fear doesn't make sense. How can I overcome it?
81,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","How can I get my boyfriend to see my point of view when we argue? + I had to go to the emergency room today to get an X-ray of my spine. My boyfriend didn't want to sit there and wait with me. Instead, he wanted to go do things for his friends while I waited. When I was done, he was twenty minutes late in picking me up. He doesn't understand why I'm mad, and we keep bickering at each other over the smallest things. He thinks I don't have a reason to be mad, but I believe that I do."
82,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",My daughter isn't acting her age + My daughter seemed to be developing at a normal rate until about the age of 10. She then started to act younger than she is.  Now she only wants to play with younger kids and she doesn't act her age. I don't know why this is happening. Is this normal?
83,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","How can I stop thinking so negatively about myself? + I'm depressed and recently went through a break up. It’s like every guy I like only wants me for sex. I think I'm ugly, and sometimes I just want to die. I have a son, and I got really big when I was pregnant. I have stretch marks on my stomach."
84,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","What should my boyfriend and I do to cope with his cancer? + We have been together over a year. We spend time together every day no matter how busy. He started to be unusually fatigued and losing weight. He also began to be distant and sexually selfish. We had a argument, and he confided he has late stage stomach cancer. He wont treat it."
85,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",I want to get back with my kid's mother and be a family again + I regret ever hurting her and they mean the world to me. But it feels like nothing I do seem to work.I'll always love them no matter what and when I'm with them nothing else matters. I love them more then anything. I don't want another guy raising my kids.
86,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",How do I move on from my husband's cheating? + My husband cheated on me and it hurt me very bad. It was a time when my health was poor. I'm have a hard time moving on.
87,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","I get so angry that I want to explode + I've got so much anger. I don't know how to control myself. My girlfriend screams at me all the time, and sometime I don't know how to deal with life. I'm very depressed and angry. I feel lost."
88,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",I completely lost myself—how can I find myself again? + I've become so jaded that I can't control my thoughts. I cannot focus on anything and been having anxiety attacks.
89,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0]","What can I do if my parents refuse to acknowledge my anxiety and self-confidence issues? + My dad refuses to acknowledge my anxieties about going to parties, dinners, etc. Whenever I have an opinion it gets shut down. My mom and everyone else behaves likewise. For my father who heads a company, this is normal. He has to be right all the time. He blatantly refuses to even try to see it from my angle.  Recently however, it's been getting to the point where I feel pressured and unable to speak my mind. It isn't possible for me to get professional one-on-one help. He tells me to grow a pair and get over it. I recently have been developing more severe body image and self-confidence issues, which I have had all my life. I feel invalidated by my dad. I have been more paranoid lately as well. I can't turn on location services anymore on my phone because of a past incident. He makes me feel guilty about it. I feel rather worthless more often than not, unfortunately. What do I do?"
90,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","Is it normal to take a parent role and feel so hurt and broken as a teenager? + I'm a teenager. My dad has been jail for the last five years. It's tough, but my mom really tries to give a normal life to my two sisters, my brother, and I. I feel like I took upon a parent role when I'm the second youngest, and I'm not stable. My mother and sisters say I'm overdramatic. I’m just so hurt, and I keep breaking down."
